time,mat0_x1,mat0_x2,mat0_y1,mat0_y2,mat1_x1,mat1_x2,mat1_y1,mat1_y2,mat2_x1,mat2_x2,mat2_y1,mat2_y2,mat3_x1,mat3_x2,mat3_y1,mat3_y2,hopf0_x,hopf0_y,hopf1_x,hopf1_y
1.61,0.19193436382267462,0.19193436382267462,0.19193436382267462,0.19193436382267462,0.19193436382267462,0.19193436382267462,0.19193436382267462,0.19193436382267462,0.19193436382267462,0.19193436382267462,0.19193436382267462,0.19193436382267462,0.19193436382267462,0.19193436382267462,0.19193436382267462,0.19193436382267462,-0.5689333608450621,0.36572499581206186,-0.5689333608450621,0.36572499581206186
1.62,0.19170078873021482,0.19170078873021482,0.19170078873021482,0.19170078873021482,0.19170078873021482,0.19170078873021482,0.19170078873021482,0.19170078873021482,0.19170078873021482,0.19170078873021482,0.19170078873021482,0.19170078873021482,0.19170078873021482,0.19170078873021482,0.19170078873021482,0.19170078873021482,-0.590403509380906,0.3391115636937536,-0.590403509380906,0.3391115636937536
1.6300000000000001,0.19147243609402226,0.19147243609402226,0.19147243609402226,0.19147243609402226,0.19147243609402226,0.19147243609402226,0.19147243609402226,0.19147243609402226,0.19147243609402226,0.19147243609402226,0.19147243609402226,0.19147243609402226,0.19147243609402226,0.19147243609402226,0.19147243609402226,0.19147243609402226,-0.6106161998268418,0.3112537325853795,-0.6106161998268418,0.3112537325853795
1.6400000000000001,0.19124919727475992,0.19124919727475992,0.19124919727475992,0.19124919727475992,0.19124919727475992,0.19124919727475992,0.19124919727475992,0.19124919727475992,0.19124919727475992,0.19124919727475992,0.19124919727475992,0.19124919727475992,0.19124919727475992,0.19124919727475992,0.19124919727475992,0.19124919727475992,-0.6294994270982119,0.28221129666805767,-0.6294994270982119,0.28221129666805767
1.6500000000000001,0.19103096549314252,0.19103096549314252,0.19103096549314252,0.19103096549314252,0.19103096549314252,0.19103096549314252,0.19103096549314252,0.19103096549314252,0.19103096549314252,0.19103096549314252,0.19103096549314252,0.19103096549314252,0.19103096549314252,0.19103096549314252,0.19103096549314252,0.19103096549314252,-0.6469840403498793,0.25204823769718526,-0.6469840403498793,0.25204823769718526
1.6600000000000001,0.1908176358192361,0.1908176358192361,0.1908176358192361,0.1908176358192361,0.1908176358192361,0.1908176358192361,0.1908176358192361,0.1908176358192361,0.1908176358192361,0.1908176358192361,0.1908176358192361,0.1908176358192361,0.1908176358192361,0.1908176358192361,0.1908176358192361,0.1908176358192361,-0.6630039891609251,0.2208325885919968,-0.6630039891609251,0.2208325885919968
1.67,0.1906091051604607,0.1906091051604607,0.1906091051604607,0.1906091051604607,0.1906091051604607,0.1906091051604607,0.1906091051604607,0.1906091051604607,0.1906091051604607,0.1906091051604607,0.1906091051604607,0.1906091051604607,0.1906091051604607,0.1906091051604607,0.1906091051604607,0.1906091051604607,-0.6774965632159978,0.18863628230938162,-0.6774965632159978,0.18863628230938162
1.68,0.1904052722483984,0.1904052722483984,0.1904052722483984,0.1904052722483984,0.1904052722483984,0.1904052722483984,0.1904052722483984,0.1904052722483984,0.1904052722483984,0.1904052722483984,0.1904052722483984,0.1904052722483984,0.1904052722483984,0.1904052722483984,0.1904052722483984,0.1904052722483984,-0.6904026245830704,0.15553498630925477,-0.6904026245830704,0.15553498630925477
1.69,0.19020603762450397,0.19020603762450397,0.19020603762450397,0.19020603762450397,0.19020603762450397,0.19020603762450397,0.19020603762450397,0.19020603762450397,0.19020603762450397,0.19020603762450397,0.19020603762450397,0.19020603762450397,0.19020603762450397,0.19020603762450397,0.19020603762450397,0.19020603762450397,-0.7016668317015572,0.12160792297557185,-0.7016668317015572,0.12160792297557185
1.7,0.1900113036248089,0.1900113036248089,0.1900113036248089,0.1900113036248089,0.1900113036248089,0.1900113036248089,0.1900113036248089,0.1900113036248089,0.1900113036248089,0.1900113036248089,0.1900113036248089,0.1900113036248089,0.1900113036248089,0.1900113036248089,0.1900113036248089,0.1900113036248089,-0.711237854212676,0.08693767641324851,-0.711237854212676,0.08693767641324851
1.71,0.1898209743637055,0.1898209743637055,0.1898209743637055,0.1898209743637055,0.1898209743637055,0.1898209743637055,0.1898209743637055,0.1898209743637055,0.1898209743637055,0.1898209743637055,0.1898209743637055,0.1898209743637055,0.1898209743637055,0.1898209743637055,0.1898209743637055,0.1898209743637055,-0.7190685777855728,0.05160998609654014,-0.7190685777855728,0.05160998609654014
1.72,0.1896349557168921,0.1896349557168921,0.1896349557168921,0.1896349557168921,0.1896349557168921,0.1896349557168921,0.1896349557168921,0.1896349557168921,0.1896349557168921,0.1896349557168921,0.1896349557168921,0.1896349557168921,0.1896349557168921,0.1896349557168921,0.1896349557168921,0.1896349557168921,-0.7251162981180174,0.015713527898594072,-0.7251162981180174,0.015713527898594072
