time,matsuoka_y1,matsuoka_y2,hopf_x,hopf_y,joint_0,joint_1,hopf_radius
7.37,0.0,0.5572023183405285,0.8335556786872493,-0.6575088086660381,0.1667111357374499,0.42570055660732087,1.0616651557554262
7.38,0.0,0.5748599724206701,0.8657291353591415,-0.6145415907077947,0.17314582707182832,0.45195165427911116,1.0616724082876758
7.390000000000001,0.0,0.5921108756769211,0.8956952426871476,-0.5699950823272094,0.17913904853742954,0.47811185921147925,1.061679971389491
7.4,0.0,0.6089206264689371,0.9233760655046664,-0.52398252276359,0.1846752131009333,0.504124121916219,1.0616878272395207
7.41,0.0,0.6252551216257491,0.9486994723872696,-0.4766210415401981,0.18973989447745393,0.5299309133177095,1.0616959574881817
7.42,0.0,0.6410806673871797,0.9715993342040027,-0.42803136135996134,0.19431986684080055,0.5554743951151875,1.0617043432770363
7.43,0.0,0.6563640894660617,0.9920157075027022,-0.378337490437725,0.19840314150054045,0.5806965913785167,1.061712965260763
7.44,0.0,0.6710728419202527,1.0098950021247715,-0.32766640503756916,0.2019790004249543,0.6055395609127389,1.0617218036316465
7.45,0.0,0.6851751145253367,1.0251901324831387,-0.2761477230224343,0.20503802649662775,0.6299455699208499,1.0617308381465005
7.46,0.0,0.6986399383416203,1.037860651978255,-0.22391336926018035,0.207572130395651,0.6538572644895843,1.0617400481559383
7.47,0.0,0.7114372891725845,1.0478728700708932,-0.17109723376500918,0.20957457401417867,0.6772178424195827,1.0617494126358862
7.48,0.0,0.7235381886163488,1.055199951577094,-0.11783482348567742,0.2110399903154188,0.6999712239192133,1.0617589102212435
7.49,0.0,0.7349148024169637,1.059821997799719,-0.06426290868187438,0.2119643995599438,0.7220622206805889,1.061768519241573
7.5,0.0,0.7455405358284728,1.0617261091626076,-0.010519164857316667,0.21234522183252152,0.7434367028570095,1.061778217758711
7.51,0.0,0.7553901257116782,1.0609064290670769,0.043258188757702785,0.2121812858134154,0.7640417634632187,1.0617879836061688
7.5200000000000005,0.0,0.764439729091413,1.0573641687463045,0.09693075316058174,0.2114728337492609,0.7838258797235294,1.0617977944302017
